job,skills,uniq_id
Information Security Engineer,"linux, network monitoring, incident response, systems administration, security accessment",8aec88cba08d53da65ab99cf20f6f9d9
Business Solutions Architect,"Enterprise Solutions Architecture, business inteligence, reports, reporting",46baa1f69ac07779274bcd90b85d9a72
DevOps Engineer,"Configuration Management, Developer, Linux, Management, Process Engineering, VMware",45efa1f6bc65acc32bbbb953a1ed13b7
SAP FICO Architect,"FICO, AR, AP, Asset Management, HAHA",e0ac9d926dda5e95162ef05adea7318c
Network Engineer,"Cisco, DNS, HTTP, Networking, Network Engineer, Security, Video, VPN, Wireless",e7e326053c586bd94e59f1fd74de4a1b
Sr. Web Application Developer (Cloud Team) - Chicago,".NET , C#, MVC, RESTful web services, HTTP, AWS, Azure, OOP",b0dadecf4c3c2beecb9c773ca11ecda4
Front End Developer,"C++, Developer, Development, JavaScript, User Interface",28f5e0c1cc3314813e674f0c32b04d1b
OpenStack Engineer - 12185,Openstack,5e0ff38f5eaf44726f4e3d1dd257a244
9001 Data Security Administrator - Unix & IAM,"Unix, IAM, Scripting knowledge, OIM, Windows, Linux",e4a1ff1b6c0fda5f345e57cf1acb40dd
Software Engineer Manager,"Java, OSS",d0c81a2e3e5d666f3d730f1048c49132
Sales Engineer - Los Angles,"Consulting, Project, Sales, Sales Engineer",51279d060da242e3baea98b26ddd641e
Project Manager,mobile device,48b7ca0c2f6191fb48e7ecf19fbd3322
Test Lead / Test Manager,QA,e4dceaaaaae37ca6eabb04a7d42498b4
Principal Application Analyst-Supply Chain Lawson,Lawson Supply Chain,7ad2eadde69e07fee0e38c1a251dd81f
Messaging Administrator,"Desktop, Hardware, Network, Software, Systems, Windows",f3af6886ca0d133abda2ddf9b84633e4
"Java Architect - Denver, CO - Fulltime",(See Job Description),e4f57bc5366124a0a47cac27f557f9ec
IT Business Analyst,"Analysis, Analyst, Application, Business Analyst, Business Requirements, Excel, IT, PowerPoint, Project",d3073d47b79938269b22bdea4dc0b9b8
Sr. Systems Test Engineer (PERM),"System Testing, Load/Performance Testing, FIX.FAST, C/C++, Java, Windows, Linux",b7fab2d3de5e129310b382d8f51508f6
IT Quality Consultant,"Agile, CASE, Consulting, Defect Management, Manager, Management, Project, Project Management",4868383e3f99535778f354fcb734d57c
USB Validation Engineer,"MATLAB, LabVIEW",81f8732626888727fcc1093b6c084839
Senior Product Manager,"Do you want a chance to directly improve the customer experience for millions of customers a day? This position is a Product Manager in the Customer Experience team for Fulfillment by Amazon and Amazon Global Selling organization. Our vision is to transform global commerce by bringing selection from around the world to Customers anywhere in the world, with the same great customer experience Buyers expect from Amazon. In this role, you will set strategy and policy, build processes, and evangelize for technology solutions that allow third party Sellers from all over the world to bring hundreds of millions of new items to Amazon's 11 Marketplaces worldwide. You will determine what experience these Sellers must offer our customers, create the incentives and enforcement mechanisms to achieve this experience, and frequently audit the results. Responsibilities for this position will include creation of programs that drive improvement in our key customer experience metrics, management of global programs and stakeholders, and driving alignment for new programs at high levels of the organization. This position will also have management responsibility for product managers, data analysts, and an operations team. From Jeff Bezos' annual letter to Amazon shareholders: ""To further globalize Marketplace, we're now helping sellers in each of our geographies - and in countries where we don't have a presence - reach out to our customers in countries outside their home geographies. We hosted merchants from more than 100 different countries last year, and helped them connect with customers in 185 nations. Almost one-fifth of our overall third-party sales now occur outside the sellers' home countries, and our merchants' cross-border sales nearly doubled last year. In the EU, sellers can open a single account, manage their business in multiple languages, and make products available across our five EU websites. More recently, we've started consolidating cross-border shipments for sellers and helping them obtain ocean shipping from Asia to Europe and North America at preferential, bulk rates."" Fulfillment by Amazon (FBA) is an Amazon service for our third-party Sellers. The FBA team partners with Sellers and our Amazon Fulfillment Centers to create a seamless experience for Sellers to leverage our world-class facilities. 71% of our FBA Sellers report more than a 20% increase in unit sales after joining FBA. In a very real way, we are changing lives with the work we do. Our FBA employees wake up every day thinking about how to enable our Sellers to be successful on our platform. Enabling Seller success allows us to provide Amazon customers with unparalleled selection and pricing. FBA is a win for Sellers and a win for customers. Want to learn more about FBA? ? Seller's success stories: SellerSuccess ? A free book of stories from small businesses/sellers, authors, and innovators that are thriving on Amazon: Transformations-ebook",cf902dc6fd702207563ed1cdc03ef05e
Frontend/UI Developer,"Angular.JS, React, Node.js, JavaScript",1bef3cf6259e80d18222407858ad9052
1001 Selenium Automation testing,selenium testing automation,72a3f0f0f24a0a78c5fac3c2376f5979
Sr. Software Storage Engineer,"C and C++, Linux, UNIX",b1db84e23f424b1481b29212749abadc
C++ Software Engineer,Bachelor's degree with 5 years of experience developing software applications in C++ preferably in a Linux environment is required. Experience with .NET or Java preferred.,51a0050d469e787dba2102383797536d
Domestic Outsourcing Business Development Executive,"Development, IT, Network, Project, Sales",f2ade5d053b992593e2bdacd83a18a7f
Lead Mobile Product Manager- 12255,"Android, Mobile",2831bbdba025f87efca38b9761f26b95
4709317 Project Planner/Scheduler,"Scheduling, Primavera 6.0, Unifier, MS Project Stadard, EIT, Construction, Pharma or Biotech",2b2322459de27834b0c3c86737fb16a8
Business Systems Analyst,"AI, Maya, Browzwear, 3D",b923d29624fb4dc9e193aa30f8253ee6
Lead Java Engineer,"Java and Java EE, JSF, Spring, Struts, and Hibernate",5be5533c9ed448d1ef92016a56573869
Project Coordinator II,"Consulting, Database, Lifecycle, Management, Metrics, PMP, Project, Sales, SalesForce, Scheduling, Telecommunications",ebdaa795cb443c6b7881b7a15c4c25b1
Core Java Developer with distributed computing,Need a strong core Java Developer with some good Data experience. Must have experience with distributed computing.,d92f267244249065890ee6bde5275f49
