job,skills,uniq_id
['Information Security Engineer'],"['linux', 'network monitoring', 'incident response', 'systems administration', 'security accessment']",8aec88cba08d53da65ab99cf20f6f9d9
['Business Solutions Architect'],"['enterprise solutions architecture', 'business inteligence', 'reports', 'reporting']",46baa1f69ac07779274bcd90b85d9a72
['DevOps Engineer'],"['configuration management', 'developer', 'linux', 'management', 'process engineering', 'vmware']",45efa1f6bc65acc32bbbb953a1ed13b7
['SAP FICO Architect'],"['fico', 'ar', 'ap', 'asset management', 'haha']",e0ac9d926dda5e95162ef05adea7318c
['Network Engineer'],"['cisco', 'dns', 'http', 'networking', 'network engineer', 'security', 'video', 'vpn', 'wireless']",e7e326053c586bd94e59f1fd74de4a1b
['Sr. Web Application Developer (Cloud Team) - Chicago'],"['.net', 'c#', 'mvc', 'restful web services', 'http', 'aws', 'azure', 'oop']",b0dadecf4c3c2beecb9c773ca11ecda4
['Front End Developer'],"['c++', 'developer', 'development', 'javascript', 'user interface']",28f5e0c1cc3314813e674f0c32b04d1b
['OpenStack Engineer - 12185'],['openstack'],5e0ff38f5eaf44726f4e3d1dd257a244
['9001 Data Security Administrator - Unix & IAM'],"['unix', 'iam', 'scripting knowledge', 'oim', 'windows', 'linux']",e4a1ff1b6c0fda5f345e57cf1acb40dd
['Software Engineer Manager'],"['java', 'oss']",d0c81a2e3e5d666f3d730f1048c49132
['Sales Engineer - Los Angles'],"['consulting', 'project', 'sales', 'sales engineer']",51279d060da242e3baea98b26ddd641e
['Project Manager'],['mobile device'],48b7ca0c2f6191fb48e7ecf19fbd3322
['Test Lead / Test Manager'],['qa'],e4dceaaaaae37ca6eabb04a7d42498b4
['Principal Application Analyst-Supply Chain Lawson'],['lawson supply chain'],7ad2eadde69e07fee0e38c1a251dd81f
['Messaging Administrator'],"['desktop', 'hardware', 'network', 'software', 'systems', 'windows']",f3af6886ca0d133abda2ddf9b84633e4
"['Java Architect - Denver', ' CO - Fulltime']",['(see job description)'],e4f57bc5366124a0a47cac27f557f9ec
['IT Business Analyst'],"['analysis', 'analyst', 'application', 'business analyst', 'business requirements', 'excel', 'it', 'powerpoint', 'project']",d3073d47b79938269b22bdea4dc0b9b8
['Sr. Systems Test Engineer (PERM)'],"['system testing', 'load/performance testing', 'fix.fast', 'c/c++', 'java', 'windows', 'linux']",b7fab2d3de5e129310b382d8f51508f6
['IT Quality Consultant'],"['agile', 'case', 'consulting', 'defect management', 'manager', 'management', 'project', 'project management']",4868383e3f99535778f354fcb734d57c
['USB Validation Engineer'],"['matlab', 'labview']",81f8732626888727fcc1093b6c084839
['Senior Product Manager'],"['do you want a chance to directly improve the customer experience for millions of customers a day? this position is a product manager in the customer experience team for fulfillment by amazon and amazon global selling organization. our vision is to transform global commerce by bringing selection from around the world to customers anywhere in the world', 'with the same great customer experience buyers expect from amazon. in this role', 'you will set strategy and policy', 'build processes', ""and evangelize for technology solutions that allow third party sellers from all over the world to bring hundreds of millions of new items to amazon's 11 marketplaces worldwide. you will determine what experience these sellers must offer our customers"", 'create the incentives and enforcement mechanisms to achieve this experience', 'and frequently audit the results. responsibilities for this position will include creation of programs that drive improvement in our key customer experience metrics', 'management of global programs and stakeholders', 'and driving alignment for new programs at high levels of the organization. this position will also have management responsibility for product managers', 'data analysts', 'and an operations team. from jeff bezos\' annual letter to amazon shareholders: ""to further globalize marketplace', ""we're now helping sellers in each of our geographies - and in countries where we don't have a presence - reach out to our customers in countries outside their home geographies. we hosted merchants from more than 100 different countries last year"", ""and helped them connect with customers in 185 nations. almost one-fifth of our overall third-party sales now occur outside the sellers' home countries"", ""and our merchants' cross-border sales nearly doubled last year. in the eu"", 'sellers can open a single account', 'manage their business in multiple languages', 'and make products available across our five eu websites. more recently', ""we've started consolidating cross-border shipments for sellers and helping them obtain ocean shipping from asia to europe and north america at preferential"", 'bulk rates."" fulfillment by amazon (fba) is an amazon service for our third-party sellers. the fba team partners with sellers and our amazon fulfillment centers to create a seamless experience for sellers to leverage our world-class facilities. 71% of our fba sellers report more than a 20% increase in unit sales after joining fba. in a very real way', ""we are changing lives with the work we do. our fba employees wake up every day thinking about how to enable our sellers to be successful on our platform. enabling seller success allows us to provide amazon customers with unparalleled selection and pricing. fba is a win for sellers and a win for customers. want to learn more about fba? ? seller's success stories: sellersuccess ? a free book of stories from small businesses/sellers"", 'authors', 'and innovators that are thriving on amazon: transformations-ebook']",cf902dc6fd702207563ed1cdc03ef05e
['Frontend/UI Developer'],"['angular.js', 'react', 'node.js', 'javascript']",1bef3cf6259e80d18222407858ad9052
['1001 Selenium Automation testing'],['selenium testing automation'],72a3f0f0f24a0a78c5fac3c2376f5979
['Sr. Software Storage Engineer'],"['c and c++', 'linux', 'unix']",b1db84e23f424b1481b29212749abadc
['C++ Software Engineer'],"[""bachelor's degree with 5 years of experience developing software applications in c++ preferably in a linux environment is required. experience with .net or java preferred.""]",51a0050d469e787dba2102383797536d
['Domestic Outsourcing Business Development Executive'],"['development', 'it', 'network', 'project', 'sales']",f2ade5d053b992593e2bdacd83a18a7f
['Lead Mobile Product Manager- 12255'],"['android', 'mobile']",2831bbdba025f87efca38b9761f26b95
['4709317 Project Planner/Scheduler'],"['scheduling', 'primavera 6.0', 'unifier', 'ms project stadard', 'eit', 'construction', 'pharma or biotech']",2b2322459de27834b0c3c86737fb16a8
['Business Systems Analyst'],"['ai', 'maya', 'browzwear', '3d']",b923d29624fb4dc9e193aa30f8253ee6
['Lead Java Engineer'],"['java and java ee', 'jsf', 'spring', 'struts', 'and hibernate']",5be5533c9ed448d1ef92016a56573869
